id,sci_text
734,"overentrant swelling behaviour of poly(potassium, 3-sulfopropyl acrylate-acrylic acid) gels. rarely observed in hydrogels, overentrant is referred to an unusual swelling behaviour in which swelling in mixed solvents is higher than in the pure solvent with a higher dielectric constant. hydrogels based on acrylic acid (aa) and 3-sulfopropyl acrylate, potassium salt (kspa) were prepared to track this behaviour. the poly(kspa-aa) products were then treated with hcl to prepare poly (spa-aa) hydrogels. the overentrant behaviour of poly (spa-aa) was examined in binary mixture of water and various polar solvents including dimethyl sulfoxide (dmso), mono-and poly-hydric alcohols as well as amide solvents. it was observed that poly(spa-aa) showed overentrant swelling behaviour in aqueous solvents such as methanol, ethanol, glycerol, etc. to characterize non-treated and treated samples, fourier transform infrared spectroscopy (ftir), thermogravimetric analysis (tga), and dynamic mechanical thermal analysis (dmta) analyses were utilized for the dried samples. rheometrical testing was also employed to evaluate the modulus of the swollen samples. the structure-property relationship was preliminarily discussed. dielectric constant and hydrogen bonding formation potential of the solvents were expected to be of the main causes of the extraordinary swelling behaviour. 
"
735,"indoor air quality monitoring improving air quality perception. energy-efficient ventilation strategies relating to good indoor air quality (iaq) are a major task for building performance according to the requirements set by the energy performance of buildings directive (epbd) in 2010. applying demand-controlled ventilation (dcv) in buildings, using sensors for iaq control that enables variable airflow rates adapted to the actual indoor load conditions is one possibility to fulfill the requirements of adequate iaq while reducing the energy consumption at the same time. co2 concentrations above outdoors are generally used as an indicator for occupancy generated indoor air pollution and corresponding ventilation rates. the objective of this study is focused on a micromachined metal oxide semiconductor gas sensor module developed for iaq control, based on volatile organic compound (voc) detection. the sensor output was correlated with measured co2 concentrations and quantified vocs in 15 field scenarios. energy demand and iaq, applying the sensor module for dcv in an office, were compared to natural and time-scheduled ventilation in the office. the study accentuates the need for dcv and proves the functionality of the sensor module for iaq control at adequate comfort levels. compared to time-scheduled ventilation, 15% heating energy and 70% power consumption were saved with dcv. 
"
737,"detection of mirnas with a nanopore single-molecule counter. mirnas are short noncoding rna molecules that are important in regulating gene expression. due to the correlation of their expression levels and various diseases, mirnas are being investigated as potential biomarkers for molecular diagnostics. the fast-growing mirna exploration demands rapid, accurate, low-cost mirna detection technologies. this article will focus on two platforms of nanopore single-molecule approach that can quantitatively measure mirna levels in samples from tissue and cancer patient plasma. both nanopore methods are sensitive and specific, and do not need labeling, enzymatic reaction or amplification. in the next 5 years, the nanopore-based mirna techniques will be improved and validated for noninvasive and early diagnosis of diseases. 
"
740,"importance of nutritional support in patients with hepatic encephalopathy. protein calorie malnutrition is frequently a complication in the chronic liver disease patient and is considered to be a negative prognostic factor. anorexia and several other endocrine metabolic complications produce an hypermetabolic state that needs more caloric intake. hepatic encephalopathy is one of the developments possible in patients with descompensated cirrhosis. the well-known role of ammonia in the pathogenesis of hepatic encephalopathy has determined a restriction in dietary protein along many decades. nevertheless, there is no evidence about a low protein diet being better in the outcome of hepatic encephalopathy, it worsens, moreover, the nutritional status and helps in the development of many nutritional related complications. this article reviews the use of oral branched-chain amino acids and proteins of different sources, probiotics, synbiotics, antioxidants, oral l-ornithine l-aspartate and acetyl-l-carnitine in patients with hepatic encephalopathy. 
"
741,"preservation of the hyperdirect pathway of basal ganglia in a rodent brain slice. basal ganglia are a network of interconnected nuclei, involved in motor control, goal-directed behaviors and procedural learning. basal ganglia process information from the cerebral cortex through three main pathways. the striatum is the input nucleus of the direct (cortico-striato-nigral) and indirect (cortico-striato-pallido-subthalamo-nigral) pathways while the subthalamic nucleus (stn) is the input structure of the hyperdirect (cortico-subthalamo-nigral) pathway. despite the fact that the hyperdirect pathway constitutes a central part of most of basal ganglia models, experimental studies concerning its synaptic transmission and plasticity are still lacking. this is mainly because in vitro brain slices do not preserve the hyperdirect pathway. here, we address this by developing a hyperdirect pathway brain slice where cortico-subthalamo-nigral connections were preserved. we characterized the transmission properties and its monosynaptic features between the frontal cortex and the stn, and between the stn and the substantia nigra pars reticulate (snr), the output nucleus of the hyperdirect pathway. cortical stimulation evoked monosynaptic glutamatergic events in stn neurons with a mean latency of 11.3 ms and a mean amplitude of 21 pa. stn stimulations evoked monosynaptic glutamatergic events in snr neurons with a mean latency of 2.5 ms and a mean amplitude of 116 pa. this brain slice also preserved a part of the direct and indirect pathways such as the cortico-striatal connection. this novel slice configuration containing the hyperdirect pathway is a useful tool to better understand the transmission and plasticity in this pathway and hence the physiology and the pathophysiology of basal ganglia. (c) 2012 ibro. published by elsevier ltd. all rights reserved. 
"
742,"immortal particle for a catalytic branching process. we study the existence and asymptotic properties of a conservative branching particle system driven by a diffusion with smooth coefficients for which birth and death are triggered by contact with a set. sufficient conditions for the process to be non-explosive are given. in the brownian motions case the domain of evolution can be non-smooth, including lipschitz, with integrable martin kernel. the results are valid for an arbitrary number of particles and non-uniform redistribution after branching. additionally, with probability one, it is shown that only one ancestry line survives. in special cases, the evolution of the surviving particle is studied and for a two particle system on a half line we derive explicitly the transition function of a chain representing the position at successive branching times. 
"
743,"characterization of 39 novel est-ssr markers for liriodendron tulipifera and cross-species amplification in l. chinense (magnoliaceae). premise of the study: a novel set of simple sequence repeat (ssr) markers were developed and characterized from the expressed sequence tag (est) database of liriodendron tulipifera for application in population genetic studies of liriodendron. 
 methods and results: thirty-nine polymorphic est-ssr loci were identified among 27 individuals sampled from a cultivated population of l. tulipifera. the number of alleles per locus ranged from three to 18. the average observed heterozygosity and expected heterozygosity were 0.684 and 0.778, respectively. of the 39 loci, 32 showed interspecific transferability and polymorphism in a related species, l. chinense. the number of alleles per locus ranged from two to 11, and the average observed heterozygosity and expected heterozygosity were 0.475 and 0.736, respectively. 
 conclusions: the developed est-ssr markers will be useful for investigating adaptive genetic differentiation in liriodendron. 
"
745,"challenges in the transformation to lean production from different manufacturing-process choices: a path-dependent perspective. the implementation of lean production remains popular among industrial companies, and the requirement for individualised steps in its implementation is widely accepted; however, research has not yet considered the different process choices available to the companies. the conclusions drawn from the automotive industry's mass production environment may be misleading, given the different conditions of many other industries. we therefore compare case data from a craft producer with the rich, case-study based literature of mass producer companies that highlight the transformation from mass to lean production. we derive a list of specific challenges a craft producer must approach using a different strategy than a mass producer. this study adds to the lean production theory by demonstrating how different manufacturing process choices influence the lean transformation process and its successful implementation. it provides specific propositions concerning the transformation to lean by considering the different processes of craft and mass production companies. furthermore, the case study gives an in-depth understanding of the challenges a craft-oriented company faces when becoming lean. 
"
746,"dissolved organic carbon release from surface sand of a high energy beach along the southeastern coast of north carolina, usa. the purpose of this study was to determine the flux of dissolved organic carbon (doc) from high-energy beach sand to the coastal ocean. the doc concentration of seawater was measured before and after exposure to the beach sand in laboratory experiments. increases were observed in all experiments (n=36) conducted on seawater and high-energy beach sand collected on a monthly basis for one year. final dissolved organic carbon in seawater after exposure to surface sands were positively correlated with water column doc concentrations measured in the surf zone at the same time of sand collection for laboratory experiments. increases in doc during laboratory experiments displayed marked seasonality with larger increases observed during summer with a corresponding low doc carbon to nitrogen ratio (c:n) suggesting phytoplankton as the source of doc during this time of year. higher doc c:n was observed during winter indicating a more aged organic material as the source of doc during this time of low flux. sandy beach sediments release over an order of magnitude more doc per meter squared compared to coastal shelf sediments and rainwater suggesting that in locations where there are no direct river inputs these beach environments play a significant, previously unrecognized role as an external source of doc to the immediate coastal ocean. it is likely that doc released from these environments has a significant effect on surf zone biogeochemistry potentially affecting oxygen concentrations in coastal regions. (c) 2012 elsevier b.v. all rights reserved. 
"
747,"using a checklist to identify barriers to compliance with evidence-based guidelines for central line management: a mixed methods study in mongolia. objectives: this study aimed to determine the extent to which a checklist has potential for identifying barriers to compliance with central line management guidelines, to evaluate the potential utility of checklists to improve the management of central lines in mongolia, and to define the gap between current and best practices. 
 methods: a 22-item checklist was developed based on the centers for disease control and prevention (cdc, usa) guidelines and existing central line-associated bloodstream infection (clabsi) checklists. the checklist was used to observe 375 central line procedures performed in the intensive care units of four tertiary hospitals of mongolia between july and december 2010. in parallel, 36 face-to-face interviews were conducted in six other tertiary hospitals to explain practice variations and identify barriers. 
 results: the baseline compliance level across all components of the checklist was 68.5%. the main factors explaining low levels of compliance were outdated local standards, a lack of updated guidelines, poor control over compliance with existing clinical guidelines, poor supply of medical consumables, and insufficient knowledge of contemporary infection control measures among health care providers. 
 conclusions: the health authorities of mongolia need to adequately address the prevention and control of clabsis in their hospitals. updating local standards and guidelines and implementing adequate multifaceted interventions with behavioral, educational, and logistical components are required. use of a checklist as a baseline evaluation tool was feasible. it described current practice, showed areas that need urgent attention, and provided important information needed for future planning of clabsi interventions. (c) 2012 international society for infectious diseases. published by elsevier ltd. all rights reserved. 
"
